full_text,cleaned_text,normalized_text,text_without_stopwords,tokens,sentiment_score,sentiment_label,naivebayes_label
Gimana guys suka nggak sama koreografi Music Video Waktunya Membuktikan by @officialJKT48? https://t.co/tpTV86xQNc,gimana guys suka nggak sama koreografi music video waktunya membuktikan by  ,gimana guys suka tidak sama koreografi music video waktunya membuktikan by,gimana guys suka koreografi music video membuktikan by,"['gimana', 'guys', 'suka', 'koreografi', 'music', 'video', 'membuktikan', 'by']",1,Positive,Positive
@saudaradina @Adriandhy Aboorijal Bakery adalah toko roti fiktif dalam film animasi Indonesia Jumbo (2025) yang berlatar di Kampung Seruni. Nama Aboorijal adalah plesetan lucu dari kata original sering dipakai dalam komedi Indonesia untuk meniru pengucapan yang salah agar terdengar mewah. ,  aboorijal bakery adalah toko roti fiktif dalam film animasi indonesia jumbo 2025 yang berlatar di kampung seruni nama aboorijal adalah plesetan lucu dari kata original sering dipakai dalam komedi indonesia untuk meniru pengucapan yang salah agar terdengar mewah ,aboorijal bakery adalah toko roti fiktif dalam film animasi indonesia jumbo 2025 yang berlatar di kampung seruni nama aboorijal adalah plesetan lucu dari kata original sering dipakai dalam komedi indonesia untuk meniru pengucapan yang salah agar terdengar mewah,aboorijal bakery toko roti fiktif film animasi indonesia jumbo 2025 berlatar kampung seruni nama aboorijal plesetan lucu original dipakai komedi indonesia meniru pengucapan salah terdengar mewah,"['aboorijal', 'bakery', 'toko', 'roti', 'fiktif', 'film', 'animasi', 'indonesia', 'jumbo', '2025', 'berlatar', 'kampung', 'seruni', 'nama', 'aboorijal', 'plesetan', 'lucu', 'original', 'dipakai', 'komedi', 'indonesia', 'meniru', 'pengucapan', 'salah', 'terdengar', 'mewah']",1,Positive,Positive
WTS Promo Tiket B1G1 CINEPOLIS Bisa Semua Film Harga 1 tiket + 20K = 2 tiket ️ CGV diskon 3K/Tiket Promo GJLS Final Destination MI Jumbo Lilo Stitch Ballerina How to train ur dragon Gowok Hifive Bring Her Back Keluarga Super Irit Stok Terbatas ️ #zonauang https://t.co/DLHOtnqLIO,wts promo tiket b1g1 cinepolis bisa semua film harga 1 tiket  20k  2 tiket  cgv diskon 3ktiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok terbatas   ,wts promo tiket b1g1 cinepolis bisa semua film harga 1 tiket 20k 2 tiket cgv diskon 3ktiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok terbatas,wts promo tiket b1g1 cinepolis film harga 1 tiket 20k 2 tiket cgv diskon 3ktiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok terbatas,"['wts', 'promo', 'tiket', 'b1g1', 'cinepolis', 'film', 'harga', '1', 'tiket', '20k', '2', 'tiket', 'cgv', 'diskon', '3ktiket', 'promo', 'gjls', 'final', 'destination', 'mi', 'jumbo', 'lilo', 'stitch', 'ballerina', 'how', 'to', 'train', 'ur', 'dragon', 'gowok', 'hifive', 'bring', 'her', 'back', 'keluarga', 'super', 'irit', 'stok', 'terbatas']",0,Positive,Positive
Tau kalo aku ajakin atau kakak ku ajkin pasti kita yg bayar ga mungkin kita biarin anak 9 taun kaya dia bayar sendiri. Makanya dia ga pernah minta ini itu. Sekarang aku nyesel karna film jumbo udh ga tayang tapi dia belum nonton. Fyi aku ga akan pernah nonton film kalo ga,tau kalo aku ajakin atau kakak ku ajkin pasti kita yg bayar ga mungkin kita biarin anak 9 taun kaya dia bayar sendiri makanya dia ga pernah minta ini itu sekarang aku nyesel karna film jumbo udh ga tayang tapi dia belum nonton fyi aku ga akan pernah nonton film kalo ga,tau kalo aku ajakin atau kakak ku ajkin pasti kita yang bayar ga mungkin kita biarin anak 9 taun kaya dia bayar sendiri makanya dia ga pernah minta ini itu sekarang aku nyesel karna film jumbo sudah ga tayang tapi dia belum nonton fyi aku ga akan pernah nonton film kalo ga,tau kalo ajakin kakak ku ajkin bayar ga biarin anak 9 taun kaya bayar ga nyesel karna film jumbo ga tayang nonton fyi ga nonton film kalo ga,"['tau', 'kalo', 'ajakin', 'kakak', 'ku', 'ajkin', 'bayar', 'ga', 'biarin', 'anak', '9', 'taun', 'kaya', 'bayar', 'ga', 'nyesel', 'karna', 'film', 'jumbo', 'ga', 'tayang', 'nonton', 'fyi', 'ga', 'nonton', 'film', 'kalo', 'ga']",0,Positive,Positive
Film jumbo. Aku ga kepikiran buat ngajakin dia. Adikku emang bukan tipe orang yang maksain mau nonton tapi dia beberapa kali ngode gitu dg sering bilang 'jumbo si tentang apa?' Tapi ga pernah minta buat nonton. Kondisi keluargaku sekarang emang lagi baik ekonominya. Dan dia,film jumbo aku ga kepikiran buat ngajakin dia adikku emang bukan tipe orang yang maksain mau nonton tapi dia beberapa kali ngode gitu dg sering bilang jumbo si tentang apa tapi ga pernah minta buat nonton kondisi keluargaku sekarang emang lagi baik ekonominya dan dia,film jumbo aku ga kepikiran buat ngajakin dia adikku emang bukan tipe orang yang maksain mau nonton tapi dia beberapa kali ngode gitu dg sering bilang jumbo si tentang apa tapi ga pernah minta buat nonton kondisi keluargaku sekarang emang lagi baik ekonominya dan dia,film jumbo ga kepikiran ngajakin adikku emang tipe orang maksain nonton kali ngode gitu dg bilang jumbo si ga nonton kondisi keluargaku emang ekonominya,"['film', 'jumbo', 'ga', 'kepikiran', 'ngajakin', 'adikku', 'emang', 'tipe', 'orang', 'maksain', 'nonton', 'kali', 'ngode', 'gitu', 'dg', 'bilang', 'jumbo', 'si', 'ga', 'nonton', 'kondisi', 'keluargaku', 'emang', 'ekonominya']",0,Positive,Positive
eps 2 pt 1 @AlloBankID : Day 2 sedikit demi sedikit engkau akan berteman baik selain treasure aku mau nyanyi brng Prince Poetiray. alasannya krn ponakanku yg di kalimantan suka bgt sm film jumbo hadiah buat dia krn bln ini ultah. #PasBuatKamu #AlloBankFestival2025,eps 2 pt 1   day 2 sedikit demi sedikit engkau akan berteman baik selain treasure aku mau nyanyi brng prince poetiray alasannya krn ponakanku yg di kalimantan suka bgt sm film jumbo hadiah buat dia krn bln ini ultah  ,eps 2 pt 1 day 2 sedikit demi sedikit engkau akan berteman baik selain treasure aku mau nyanyi brng prince poetiray alasannya krn ponakanku yang di kalimantan suka sangat sama film jumbo hadiah buat dia krn bln ini ultah,eps 2 pt 1 day 2 engkau berteman treasure nyanyi brng prince poetiray alasannya krn ponakanku kalimantan suka film jumbo hadiah krn bln ultah,"['eps', '2', 'pt', '1', 'day', '2', 'engkau', 'berteman', 'treasure', 'nyanyi', 'brng', 'prince', 'poetiray', 'alasannya', 'krn', 'ponakanku', 'kalimantan', 'suka', 'film', 'jumbo', 'hadiah', 'krn', 'bln', 'ultah']",1,Positive,Positive
WTS Promo Voucher Nonton Cinepolis Beli 1 Gratis 1 B1G1 Minat WA #zonauang Bisa Film How To Train Your Dragon GJLS Ibuku Ibu Ibu Keluarga Super Irit Dan Da Dan Evil Eye Tak Ingin Usai di Sini Mission Impossible Ballerina Waktu Maghrib 2 Tenung Jumbo GJLS Ibuku ibu-ibu review,wts promo voucher nonton cinepolis beli 1 gratis 1 b1g1 minat wa  bisa film how to train your dragon gjls ibuku ibu ibu keluarga super irit dan da dan evil eye tak ingin usai di sini mission impossible ballerina waktu maghrib 2 tenung jumbo gjls ibuku ibuibu review,wts promo voucher nonton cinepolis beli 1 gratis 1 b1g1 minat wa bisa film how to train your dragon gjls ibuku ibu ibu keluarga super irit dan da dan evil eye tak ingin usai di sini mission impossible ballerina waktu maghrib 2 tenung jumbo gjls ibuku ibuibu review,wts promo voucher nonton cinepolis beli 1 gratis 1 b1g1 minat wa film how to train your dragon gjls ibuku keluarga super irit da evil eye mission impossible ballerina maghrib 2 tenung jumbo gjls ibuku ibuibu review,"['wts', 'promo', 'voucher', 'nonton', 'cinepolis', 'beli', '1', 'gratis', '1', 'b1g1', 'minat', 'wa', 'film', 'how', 'to', 'train', 'your', 'dragon', 'gjls', 'ibuku', 'keluarga', 'super', 'irit', 'da', 'evil', 'eye', 'mission', 'impossible', 'ballerina', 'maghrib', '2', 'tenung', 'jumbo', 'gjls', 'ibuku', 'ibuibu', 'review']",0,Positive,Positive
@Adriandhy Min adain film jumbo di Netflix @NetflixID mau rewatch 100x, min adain film jumbo di netflix  mau rewatch 100x,min adain film jumbo di netflix mau rewatch 100x,min adain film jumbo netflix rewatch 100x,"['min', 'adain', 'film', 'jumbo', 'netflix', 'rewatch', '100x']",0,Positive,Positive
@bicaraboxoffice @VisinemaID @jumbofilm_id @Adriandhy Bangga jadi bagian dari 10 juta lebih penonton.. Klo dlu core memory mamaknya adalah film Petualangan Sherina sekarang core memory anaknya film Jumbo.. OST ny sdh hapal sebelum film tayang pula.. I'm sooooo happy... 🇮🇩🇮🇩🇮🇩,    bangga jadi bagian dari 10 juta lebih penonton klo dlu core memory mamaknya adalah film petualangan sherina sekarang core memory anaknya film jumbo ost ny sdh hapal sebelum film tayang pula im sooooo happy ,bangga jadi bagian dari 10 juta lebih penonton kalau dlu core memory mamaknya adalah film petualangan sherina sekarang core memory anaknya film jumbo ost ny sudah hapal sebelum film tayang pula im sooooo happy,bangga 10 juta penonton dlu core memory mamaknya film petualangan sherina core memory anaknya film jumbo ost ny hapal film tayang im sooooo happy,"['bangga', '10', 'juta', 'penonton', 'dlu', 'core', 'memory', 'mamaknya', 'film', 'petualangan', 'sherina', 'core', 'memory', 'anaknya', 'film', 'jumbo', 'ost', 'ny', 'hapal', 'film', 'tayang', 'im', 'sooooo', 'happy']",0,Positive,Positive
@bangghulam @cinepoint_ diawal jumbo 60 ribuan karena masih baru beda GJLS sudah famous makanya ketika launching langsung Joss jumbo menjadi film lebaran alternatif dimana kompetitornya horror dan perselingkuhan sampai dapat 1 JT di 1 Minggu pertama,  diawal jumbo 60 ribuan karena masih baru beda gjls sudah famous makanya ketika launching langsung joss jumbo menjadi film lebaran alternatif dimana kompetitornya horror dan perselingkuhan sampai dapat 1 jt di 1 minggu pertama,diawal jumbo 60 ribuan karena masih baru beda gjls sudah famous makanya ketika launching langsung joss jumbo menjadi film lebaran alternatif dimana kompetitornya horror dan perselingkuhan sampai dapat 1 jt di 1 minggu pertama,diawal jumbo 60 ribuan beda gjls famous launching langsung joss jumbo film lebaran alternatif dimana kompetitornya horror perselingkuhan 1 jt 1 minggu,"['diawal', 'jumbo', '60', 'ribuan', 'beda', 'gjls', 'famous', 'launching', 'langsung', 'joss', 'jumbo', 'film', 'lebaran', 'alternatif', 'dimana', 'kompetitornya', 'horror', 'perselingkuhan', '1', 'jt', '1', 'minggu']",0,Positive,Positive
